id,country,Year (2010-2018),gini_index,palma,ratio_top20bottom20,bottom40,region_un,oecd (Countries that support the free market),incomegroup, gdp_ppp_pc_usd2011 , population 
3472,El Salvador,2009,45.8,2.55,10.55,14.1,Americas,Non-OECD,Lower middle income,6172,6137276
3473,El Salvador,2009,43.8,2.28,9.42,15.1,Americas,Non-OECD,Lower middle income,6172,6137276
3474,El Salvador,2009,47.8,2.83,12.09,13.2,Americas,Non-OECD,Lower middle income,6151,6157678
3475,El Salvador,2009,45.83,2.55,10.63,14.1,Americas,Non-OECD,Lower middle income,6151,6157678
3476,El Salvador,2010,43.5,2.24,9.69,14.8,Americas,Non-OECD,Lower middle income," $6,301.00 "," 6,164,626.00 "
3477,El Salvador,2010,41.4,2.01,8.52,15.8,Americas,Non-OECD,Lower middle income," $6,301.00 "," 6,164,626.00 "
3478,El Salvador,2010,45.4,2.49,10.81,13.8,Americas,Non-OECD,Lower middle income," $6,281.00 "," 6,183,877.00 "
3479,El Salvador,2010,43.51,2.25,9.61,14.76,Americas,Non-OECD,Lower middle income," $6,281.00 "," 6,183,877.00 "
3480,El Salvador,2011,42.3,2.1,8.7,15.6,Americas,Non-OECD,Lower middle income," $6,511.00 "," 6,192,560.00 "
3481,El Salvador,2011,40,1.86,7.67,16.8,Americas,Non-OECD,Lower middle income," $6,511.00 "," 6,192,560.00 "
3482,El Salvador,2011,42.32,2.1,8.7,15.62,Americas,Non-OECD,Lower middle income," $6,493.00 "," 6,210,567.00 "
3483,El Salvador,2011,43,,,,Americas,Non-OECD,Lower middle income," $6,511.00 "," 6,192,560.00 "
3484,El Salvador,2011,44,,,,Americas,Non-OECD,Lower middle income," $6,511.00 "," 6,192,560.00 "
3485,El Salvador,2012,41.8,2.04,8.31,16,Americas,Non-OECD,Lower middle income," $6,664.00 "," 6,221,246.00 "
3486,El Salvador,2012,39.6,1.82,7.47,17,Americas,Non-OECD,Lower middle income," $6,664.00 "," 6,221,246.00 "
3487,El Salvador,2012,43.8,2.29,9.58,14.8,Americas,Non-OECD,Lower middle income," $6,646.00 "," 6,237,922.00 "
3488,El Salvador,2012,41.83,2.05,8.41,15.91,Americas,Non-OECD,Lower middle income," $6,646.00 "," 6,237,922.00 "
3489,El Salvador,2013,43.4,2.24,9.02,15.3,Americas,Non-OECD,Lower middle income," $6,781.00 "," 6,250,777.00 "
3490,El Salvador,2013,41.4,2.01,8,16.4,Americas,Non-OECD,Lower middle income," $6,781.00 "," 6,250,777.00 "
3491,El Salvador,2013,45.3,2.47,10.24,14.4,Americas,Non-OECD,Lower middle income," $6,764.00 "," 6,266,076.00 "
3492,El Salvador,2013,43.36,2.22,8.96,15.39,Americas,Non-OECD,Lower middle income," $6,764.00 "," 6,266,076.00 "
3493,El Salvador,2014,41.6,2.01,8.29,16,Americas,Non-OECD,Lower middle income," $6,863.00 "," 6,281,189.00 "
3494,El Salvador,2014,39.5,1.81,7.48,17,Americas,Non-OECD,Lower middle income," $6,863.00 "," 6,281,189.00 "
3495,El Salvador,2014,43.4,2.22,9.32,15,Americas,Non-OECD,Lower middle income," $6,848.00 "," 6,295,124.00 "
3496,El Salvador,2014,41.56,2.02,8.32,15.94,Americas,Non-OECD,Lower middle income," $6,848.00 "," 6,295,124.00 "
3497,El Salvador,2015,40.6,1.93,7.72,16.5,Americas,Non-OECD,Lower middle income," $6,993.00 "," 6,312,478.00 "
3498,El Salvador,2015,38.4,1.72,6.88,17.6,Americas,Non-OECD,Lower middle income," $6,993.00 "," 6,312,478.00 "
3499,El Salvador,2015,42.6,2.13,8.71,15.6,Americas,Non-OECD,Lower middle income," $6,979.00 "," 6,325,121.00 "
3500,El Salvador,2015,40.55,1.92,7.72,16.57,Americas,Non-OECD,Lower middle income," $6,979.00 "," 6,325,121.00 "
3501,El Salvador,2016,40,1.86,7.73,16.5,Americas,Non-OECD,Lower middle income," $7,132.00 "," 6,344,722.00 "
3502,El Salvador,2016,38,1.67,7,17.5,Americas,Non-OECD,Lower middle income," $7,132.00 "," 6,344,722.00 "
3503,El Salvador,2016,42,2.08,8.89,15.4,Americas,Non-OECD,Lower middle income," $7,119.00 "," 6,356,137.00 "
3504,El Salvador,2016,39.98,1.86,7.79,16.51,Americas,Non-OECD,Lower middle income," $7,119.00 "," 6,356,137.00 "
3505,El Salvador,2017,38.01,1.67,6.99,17.4,Americas,Non-OECD,Lower middle income," $7,247.00 "," 6,388,124.00 "
3506,El Salvador,2017,35.85,1.5,6.25,18.45,Americas,Non-OECD,Lower middle income," $7,247.00 "," 6,388,124.00 "
3507,El Salvador,2017,39.9,1.85,7.83,16.4,Americas,Non-OECD,Lower middle income," $7,247.00 "," 6,388,124.00 "
3508,El Salvador,2017,38.01,1.67,6.99,17.4,Americas,Non-OECD,Lower middle income," $7,247.00 "," 6,388,124.00 "
3509,El Salvador,2018,40.5,1.92,8.32,15.9,Americas,Non-OECD,Lower middle income," $7,393.00 "," 6,420,740.00 "
3510,Equatorial Guinea,2006,50.2,,21.96,9.9,Africa,Non-OECD,Upper middle income,32619,784494
3511,Eritrea,1997,,,6.64,17.88,Africa,Non-OECD,Low income,1828,3161350
3512,Estonia,1981,25.1,,,,Europe,OECD,High income,,1483873
3513,Estonia,1986,26.7,,,,Europe,OECD,High income,,1536033
3514,Estonia,1988,27.8,,,,Europe,OECD,High income,,1564192
3515,Estonia,1989,28,,,,Europe,OECD,High income,,1569971
3516,Estonia,1989,29.9,,,,Europe,OECD,High income,,1569971
3517,Estonia,1989,25.3,,,,Europe,OECD,High income,,1569971
3518,Estonia,1990,24,,,,Europe,OECD,High income,,1565242
3519,Estonia,1992,35.8,,6.14,18.79,Europe,OECD,High income,,1520810
3520,Estonia,1993,34,,,,Europe,OECD,High income,,1488059
3521,Estonia,1993,39.5,1.82,7.22,17.23,Europe,OECD,High income,,1488060
3522,Estonia,1993,39.5,,7.23,17.21,Europe,OECD,High income,,1488059
3523,Estonia,1993,31.5,,7.39,17.16,Europe,OECD,High income,,1488059
3524,Estonia,1994,39,,,,Europe,OECD,High income,,1457093
3525,Estonia,1995,39.8,,,,Europe,OECD,High income,11390,1433024
3526,Estonia,1995,38,,,,Europe,OECD,High income,11390,1433024
3527,Estonia,1995,30.06,1.09,4.73,20.93,Europe,OECD,High income,11390,1433026
3528,Estonia,1995,35.4,1.42,6.84,18.22,Europe,OECD,High income,11390,1433024
3529,Estonia,1995,31,,,,Europe,OECD,High income,11390,1433024
3530,Estonia,1996,37,1.46,6.39,19.18,Europe,OECD,High income,12126,1417736
3531,Estonia,1996,36,,,,Europe,OECD,High income,12126,1417736
3532,Estonia,1997,33.6,,,,Europe,OECD,High income,13635,1409674
3533,Estonia,1997,36.1,1.52,6.35,19.27,Europe,OECD,High income,13635,1409674
3534,Estonia,1997,34,,,,Europe,OECD,High income,13635,1409674
3535,Estonia,1997,37,,,,Europe,OECD,High income,13635,1409674
3536,Estonia,1998,35.4,1.52,6.22,19.13,Europe,OECD,High income,14229,1406350
3537,Estonia,1998,38.4,,,,Europe,OECD,High income,14229,1406350
3538,Estonia,1998,36,,,,Europe,OECD,High income,14229,1406350
3539,Estonia,1998,37,,,,Europe,OECD,High income,14229,1406350
3540,Estonia,1998,37.64,1.66,6.45,17.95,Europe,OECD,High income,14229,1406350
3541,Estonia,1999,36.1,1.47,6.37,19.33,Europe,OECD,High income,14133,1403789
3542,Estonia,1999,40.1,,,,Europe,OECD,High income,14133,1403789
3543,Estonia,1999,36.2,,,,Europe,OECD,High income,14133,1403789
3544,Estonia,2000,36.5,1.54,6.59,18.58,Europe,OECD,High income,15679,1399111
3545,Estonia,2000,36.3,1.52,6.45,18.3,Europe,OECD,High income,15679,1399111
3546,Estonia,2000,36.3,1.53,6.28,18.55,Europe,OECD,High income,15679,1399111
3547,Estonia,2000,35.9,1.5,6.25,18.53,Europe,OECD,High income,15679,1399111
3548,Estonia,2000,36,,,,Europe,OECD,High income,15679,1399111
3549,Estonia,2000,38.9,1.54,6.68,18.85,Europe,OECD,High income,15679,1399112
3550,Estonia,2000,37.6,,,,Europe,OECD,High income,15679,1399112
3551,Estonia,2000,36.7,,,,Europe,OECD,High income,15679,1399112
3552,Estonia,2000,35.78,1.49,6.23,18.59,Europe,OECD,High income,15679,1399111
3553,Estonia,2001,35,,,,Europe,OECD,High income,16760,1391739
3554,Estonia,2001,38.8,,,,Europe,OECD,High income,16760,1391729
3555,Estonia,2001,38.5,1.43,6.11,19.45,Europe,OECD,High income,16760,1391729
3556,Estonia,2001,36.01,1.5,6.17,18.59,Europe,OECD,High income,16760,1391739
3557,Estonia,2002,35,,,,Europe,OECD,High income,17894,1382737
3558,Estonia,2002,39.3,1.44,6.18,19.48,Europe,OECD,High income,17894,1382732
3559,Estonia,2002,36.6,,,,Europe,OECD,High income,17894,1382732
3560,Estonia,2002,35.79,1.47,6.23,18.56,Europe,OECD,High income,17894,1382737
3561,Estonia,2003,40.2,1.42,6,19.75,Europe,OECD,High income,19359,1372909
3562,Estonia,2003,35.5,,,,Europe,OECD,High income,19359,1372909
3563,Estonia,2003,37.2,1.57,7.18,18.09,Europe,OECD,High income,19359,1372904
3564,Estonia,2003,34.91,1.42,6.07,18.88,Europe,OECD,High income,19359,1372904
3565,Estonia,2004,34.3,1.35,6.02,19.59,Europe,OECD,High income,20718,1363570
3566,Estonia,2004,34.8,1.4,6.11,18.74,Europe,OECD,High income,20718,1363570
3567,Estonia,2004,37.4,1.59,7.2,17.6,Europe,OECD,High income,20718,1363570
3568,Estonia,2004,38.3,,,,Europe,OECD,High income,20718,1363565
3569,Estonia,2004,34.6,,,,Europe,OECD,High income,20718,1363565
3570,Estonia,2004,50.6,,,,Europe,OECD,High income,20718,1363565
3571,Estonia,2004,33.56,1.3,5.78,19.9,Europe,OECD,High income,20718,1363570
3572,Estonia,2004,35.38,1.46,6.15,18.81,Europe,OECD,High income,20718,1363570
3573,Estonia,2005,34.1,1.34,5.89,19.2,Europe,OECD,High income,22792,1355650
3574,Estonia,2005,36.1,,,,Europe,OECD,High income,22792,1355648
3575,Estonia,2005,33.5,,,,Europe,OECD,High income,22792,1355648
3576,Estonia,2005,48.5,,,,Europe,OECD,High income,22792,1355648
3577,Estonia,2005,33.45,1.3,5.61,20.1,Europe,OECD,High income,22792,1355650
3578,Estonia,2006,33.1,1.28,5.49,19.8,Europe,OECD,High income,25251,1349373
3579,Estonia,2006,33.8,,,,Europe,OECD,High income,25252,1349297
3580,Estonia,2006,48.2,,,,Europe,OECD,High income,25252,1349297
3581,Estonia,2006,33.67,1.33,5.51,20.16,Europe,OECD,High income,25251,1349373
3582,Estonia,2007,31.1,1.15,4.89,20.99,Europe,OECD,High income,27310,1344295
3583,Estonia,2007,31.2,1.15,5.15,20.23,Europe,OECD,High income,27310,1344295
3584,Estonia,2007,33.4,1.31,5.53,19.7,Europe,OECD,High income,27310,1344295
3585,Estonia,2007,31.2,,,,Europe,OECD,High income,27314,1344072
3586,Estonia,2007,45.2,,,,Europe,OECD,High income,27314,1344072
3587,Estonia,2007,31.18,1.14,4.93,20.98,Europe,OECD,High income,27310,1344295
3588,Estonia,2008,30.9,1.14,4.97,20.6,Europe,OECD,High income,25911,1340067
3589,Estonia,2008,31.3,,,,Europe,OECD,High income,25918,1339712
3590,Estonia,2008,45.9,,,,Europe,OECD,High income,25918,1339712
3591,Estonia,2008,31.92,1.2,5.14,20.76,Europe,OECD,High income,25911,1340067
3592,Estonia,2009,31.4,1.17,5.03,20.4,Europe,OECD,High income,22161,1336140
3593,Estonia,2009,30.9,,,,Europe,OECD,High income,22166,1335830
3594,Estonia,2009,47.9,,,,Europe,OECD,High income,22166,1335830
3595,Estonia,2009,31.44,1.17,5.16,20.93,Europe,OECD,High income,22161,1336140
3596,Estonia,2010,32.1,1.19,5.54,20.41,Europe,OECD,High income," $22,730.00 "," 1,332,103.00 "
3597,Estonia,2010,31.9,1.18,5.32,19.94,Europe,OECD,High income," $22,730.00 "," 1,332,103.00 "
3598,Estonia,2010,31.3,1.15,5.03,20.6,Europe,OECD,High income," $22,730.00 "," 1,332,103.00 "
3599,Estonia,2010,31.7,,,,Europe,OECD,High income," $22,730.00 "," 1,332,102.00 "
3600,Estonia,2010,48.8,,,,Europe,OECD,High income," $22,730.00 "," 1,332,102.00 "
3601,Estonia,2010,32,1.19,5.51,20.45,Europe,OECD,High income," $22,730.00 "," 1,332,103.00 "
3602,Estonia,2011,31.9,1.18,5.34,20.2,Europe,OECD,High income," $24,538.00 "," 1,327,701.00 "
3603,Estonia,2011,32.3,,,,Europe,OECD,High income," $24,524.00 "," 1,328,449.00 "
3604,Estonia,2011,48.4,,,,Europe,OECD,High income," $24,524.00 "," 1,328,449.00 "
3605,Estonia,2011,32.49,1.22,5.51,20.35,Europe,OECD,High income," $24,538.00 "," 1,327,701.00 "
3606,Estonia,2012,32.5,1.22,5.44,19.8,Europe,OECD,High income," $25,683.00 "," 1,323,163.00 "
3607,Estonia,2012,32.6,,,,Europe,OECD,High income," $25,649.00 "," 1,324,934.00 "
3608,Estonia,2012,48.4,,,,Europe,OECD,High income," $25,649.00 "," 1,324,934.00 "
3609,Estonia,2012,32.91,1.25,5.55,20.19,Europe,OECD,High income," $25,683.00 "," 1,323,163.00 "
3610,Estonia,2013,34.9,1.38,6.15,19.18,Europe,OECD,High income," $26,262.00 "," 1,319,068.00 "
3611,Estonia,2013,35.2,1.41,6.39,18.08,Europe,OECD,High income," $26,262.00 "," 1,319,068.00 "
3612,Estonia,2013,32.9,1.25,5.52,19.7,Europe,OECD,High income," $26,262.00 "," 1,319,068.00 "
3613,Estonia,2013,35.7,,,,Europe,OECD,High income," $26,212.00 "," 1,321,560.00 "
3614,Estonia,2013,38.2,,,,Europe,OECD,High income," $26,212.00 "," 1,321,560.00 "
3615,Estonia,2013,51,,,,Europe,OECD,High income," $26,212.00 "," 1,321,560.00 "
3616,Estonia,2013,35.08,1.4,6.23,19.04,Europe,OECD,High income," $26,262.00 "," 1,319,068.00 "
3617,Estonia,2014,35.6,1.44,6.48,18,Europe,OECD,High income," $27,078.00 "," 1,316,273.00 "
3618,Estonia,2014,34.6,,,,Europe,OECD,High income," $27,035.00 "," 1,318,359.00 "
3619,Estonia,2014,37.3,,,,Europe,OECD,High income," $27,035.00 "," 1,318,359.00 "
3620,Estonia,2014,49,,,,Europe,OECD,High income," $27,035.00 "," 1,318,359.00 "
3621,Estonia,2014,34.59,1.36,6.04,19.26,Europe,OECD,High income," $27,078.00 "," 1,316,273.00 "
3622,Estonia,2015,34.8,1.38,6.18,18.5,Europe,OECD,High income," $27,612.00 "," 1,315,330.00 "
3623,Estonia,2015,33,,,,Europe,OECD,High income," $27,612.00 "," 1,315,321.00 "
3624,Estonia,2015,35.2,,,,Europe,OECD,High income," $27,612.00 "," 1,315,321.00 "
3625,Estonia,2015,47.1,,,,Europe,OECD,High income," $27,612.00 "," 1,315,321.00 "
3626,Estonia,2015,32.67,1.22,5.41,20.02,Europe,OECD,High income," $27,612.00 "," 1,315,330.00 "
3627,Estonia,2016,32.7,1.23,5.59,19.2,Europe,OECD,High income," $28,550.00 "," 1,316,507.00 "
3628,Estonia,2016,31.4,1.14,5.35,19.6,Europe,OECD,High income," $28,550.00 "," 1,316,507.00 "
3629,Estonia,2017,31.6,1.16,5.44,19.6,Europe,OECD,High income," $29,871.00 "," 1,319,389.00 "
3630,Estonia,2018,30.6,1.09,5.04,20.1,Europe,OECD,High income," $30,943.00 "," 1,322,913.00 "
3631,Eswatini,1974,63.7,,,,Africa,Non-OECD,Lower middle income,,501512
3632,Eswatini,1995,60.45,5.9,25.2,8.39,Africa,Non-OECD,Lower middle income,5811,926836
3633,Eswatini,2001,53.11,3.66,13.14,12.05,Africa,Non-OECD,Lower middle income,6179,1013608
3634,Eswatini,2010,51.45,3.46,14.18,11.54,Africa,Non-OECD,Lower middle income," $8,242.00 "," 1,064,841.00 "
3635,Ethiopia,1982,32.42,1.3,4.83,21.23,Africa,Non-OECD,Low income,,36995248
3636,Ethiopia,1996,29,,,,Africa,Non-OECD,Low income,629,58883532
3637,Ethiopia,1996,27,,,,Africa,Non-OECD,Low income,629,58883532
3638,Ethiopia,1996,34,,,,Africa,Non-OECD,Low income,629,58883532
3639,Ethiopia,1996,46.4,3.67,13.84,12.05,Africa,Non-OECD,Low income,646,57309880
3640,Ethiopia,1996,28.7,1.28,5.09,20.42,Africa,Non-OECD,Low income,646,57309880
3641,Ethiopia,1996,44.56,2.34,8.14,16.25,Africa,Non-OECD,Low income,629,58883532
3642,Ethiopia,1997,45.9,3.36,12.8,12.66,Africa,Non-OECD,Low income,626,60976450
3643,Ethiopia,1997,44.1,2.87,9.97,14.46,Africa,Non-OECD,Low income,626,60976450
3644,Ethiopia,2000,28,,,,Africa,Non-OECD,Low income,621,66224812
3645,Ethiopia,2000,26,,,,Africa,Non-OECD,Low income,621,66224812
3646,Ethiopia,2000,38,,,,Africa,Non-OECD,Low income,621,66224812
3647,Ethiopia,2000,29.98,1.14,4.32,22.35,Africa,Non-OECD,Low income,621,66224812
3648,Ethiopia,2005,30,,,,Africa,Non-OECD,Low income,736,76346312
3649,Ethiopia,2005,26,,,,Africa,Non-OECD,Low income,736,76346312
3650,Ethiopia,2005,44,,,,Africa,Non-OECD,Low income,736,76346312
3651,Ethiopia,2005,29.81,1.14,4.2,22.41,Africa,Non-OECD,Low income,736,76346312
3652,Ethiopia,2011,30,,,,Africa,Non-OECD,Low income," $1,162.00 "," 90,139,928.00 "
3653,Ethiopia,2011,27,,,,Africa,Non-OECD,Low income," $1,162.00 "," 90,139,928.00 "
3654,Ethiopia,2011,37,,,,Africa,Non-OECD,Low income," $1,162.00 "," 90,139,928.00 "
3655,Ethiopia,2011,33.17,1.33,5.2,20.63,Africa,Non-OECD,Low income," $1,162.00 "," 90,139,928.00 "
3656,Ethiopia,2011,30.5,,,,Africa,Non-OECD,Low income," $1,162.00 "," 90,139,928.00 "
3657,Ethiopia,2011,32.2,,,,Africa,Non-OECD,Low income," $1,162.00 "," 90,139,928.00 "
3658,Ethiopia,2016,33,,,,Africa,Non-OECD,Low income," $1,617.00 "," 103,603,464.00 "
3659,Ethiopia,2016,28,,,,Africa,Non-OECD,Low income," $1,617.00 "," 103,603,464.00 "
3660,Ethiopia,2016,38,,,,Africa,Non-OECD,Low income," $1,617.00 "," 103,603,464.00 "
3661,Ethiopia,2016,34.99,1.46,5.85,19.44,Africa,Non-OECD,Low income," $1,617.00 "," 103,603,464.00 "
3662,Fiji,1968,42.8,2.13,9.84,14.3,Oceania,Non-OECD,Upper middle income,,498892
3663,Fiji,1968,46,,13.08,12,Oceania,Non-OECD,Upper middle income,,498892
3664,Fiji,1972,42.3,2.07,9.35,14.8,Oceania,Non-OECD,Upper middle income,,542814
3665,Fiji,1977,42.5,,,,Oceania,Non-OECD,Upper middle income,,598259
3666,Fiji,1977,43,2.24,10.33,15.1,Oceania,Non-OECD,Upper middle income,,598259
3667,Fiji,1977,42,2.23,11.5,14.2,Oceania,Non-OECD,Upper middle income,,598259
3668,Fiji,1991,46,2.33,9.82,15,Oceania,Non-OECD,Upper middle income,5679,735473
3669,Fiji,1991,49,,,,Oceania,Non-OECD,Upper middle income,5679,735473
3670,Fiji,1991,54,,,,Oceania,Non-OECD,Upper middle income,5679,735473
3671,Fiji,2003,,2.04,8.12,15.9,Oceania,Non-OECD,Upper middle income,7048,816628
3672,Fiji,2003,38.1,1.68,6.79,17.66,Oceania,Non-OECD,Upper middle income,7053,816078
3673,Fiji,2009,,2.28,9.3,15.2,Oceania,Non-OECD,Upper middle income,7194,853636
3674,Fiji,2009,40.38,1.89,7.19,17.41,Oceania,Non-OECD,Upper middle income,7194,853636
3675,Fiji,2014,,1.62,5.88,19.1,Oceania,Non-OECD,Upper middle income," $8,222.00 "," 885,806.00 "
3676,Fiji,2014,,1,3.72,24.2,Oceania,Non-OECD,Upper middle income," $8,222.00 "," 885,806.00 "
3677,Fiji,2014,,1.68,6.25,18.4,Oceania,Non-OECD,Upper middle income," $8,222.00 "," 885,806.00 "
3678,Fiji,2014,36.7,1.58,5.94,18.85,Oceania,Non-OECD,Upper middle income," $8,406.00 "," 866,447.00 "
3679,Finland,1952,41,1.95,11.05,14.8,Europe,OECD,High income,,4096554
3680,Finland,1962,47,2.93,20.54,11.1,Europe,OECD,High income,,4498817
3681,Finland,1962,47,,,,Europe,OECD,High income,,4498817
3682,Finland,1962,46,,20.54,11.1,Europe,OECD,High income,,4498817
3683,Finland,1966,30.9,1.14,4.86,20.8,Europe,OECD,High income,,4581115
3684,Finland,1966,33.4,,,,Europe,OECD,High income,,4581115
3685,Finland,1966,38.9,,,,Europe,OECD,High income,,4581115
3686,Finland,1971,26.7,0.93,3.93,23.1,Europe,OECD,High income,,4629380
3687,Finland,1971,30.9,,,,Europe,OECD,High income,,4629380
3688,Finland,1971,38.5,,,,Europe,OECD,High income,,4629380
3689,Finland,1971,29.8,1.07,4.61,21.47,Europe,OECD,High income,,4629380
3690,Finland,1976,21.5,0.71,2.99,26,Europe,OECD,High income,,4734437
3691,Finland,1976,26.3,,,,Europe,OECD,High income,,4734437
3692,Finland,1976,35.3,,,,Europe,OECD,High income,,4734437
3693,Finland,1976,23.9,0.79,3.37,24.71,Europe,OECD,High income,,4734437
3694,Finland,1977,30.5,1.08,5.41,19.6,Europe,OECD,High income,,4746932
3695,Finland,1981,20.5,0.66,2.93,26.4,Europe,OECD,High income,,4809813
3696,Finland,1981,25.2,,,,Europe,OECD,High income,,4809813
3697,Finland,1981,35.8,,,,Europe,OECD,High income,,4809813
3698,Finland,1981,23.3,0.77,3.28,25.13,Europe,OECD,High income,,4809813
3699,Finland,1985,20,,,,Europe,OECD,High income,,4911220
3700,Finland,1985,22.4,0.75,3.11,25.79,Europe,OECD,High income,,4911220
3701,Finland,1986,20.9,,,,Europe,OECD,High income,,4930341
3702,Finland,1986,38.7,,,,Europe,OECD,High income,,4930341
3703,Finland,1987,22.2,0.74,3.06,25.96,Europe,OECD,High income,,4946368
3704,Finland,1987,20.7,0.68,2.92,26.44,Europe,OECD,High income,,4946368
3705,Finland,1987,27.2,0.95,3.91,23.09,Europe,OECD,High income,,4946368
3706,Finland,1987,25.9,0.88,3.89,23.36,Europe,OECD,High income,,4946368
3707,Finland,1987,19.7,0.65,2.72,27.2,Europe,OECD,High income,,4946373
3708,Finland,1987,25.1,,,,Europe,OECD,High income,,4946373
3709,Finland,1987,38,,,,Europe,OECD,High income,,4946373
3710,Finland,1987,20.9,,,,Europe,OECD,High income,,4946373
3711,Finland,1987,26.1,,,,Europe,OECD,High income,,4946373
3712,Finland,1987,39.3,,,,Europe,OECD,High income,,4946373
3713,Finland,1987,37.5,1.6,12.33,15.1,Europe,OECD,High income,,4946373
3714,Finland,1988,20.2,0.66,2.78,27.1,Europe,OECD,High income,,4961087
3715,Finland,1988,25.8,,,,Europe,OECD,High income,,4961087
3716,Finland,1988,38.8,,,,Europe,OECD,High income,,4961087
3717,Finland,1988,21.3,,,,Europe,OECD,High income,,4961087
3718,Finland,1988,26.7,,,,Europe,OECD,High income,,4961087
3719,Finland,1988,40,,,,Europe,OECD,High income,,4961087
3720,Finland,1989,20.4,0.68,2.82,26.8,Europe,OECD,High income,,4977115
3721,Finland,1989,26.1,,,,Europe,OECD,High income,,4977115
3722,Finland,1989,39.3,,,,Europe,OECD,High income,,4977115
3723,Finland,1989,21.7,,,,Europe,OECD,High income,,4977115
3724,Finland,1989,27.2,,,,Europe,OECD,High income,,4977115
3725,Finland,1989,40.7,,,,Europe,OECD,High income,,4977115
3726,Finland,1990,20.2,0.67,2.76,27,Europe,OECD,High income,28849,4996222
3727,Finland,1990,25.6,,,,Europe,OECD,High income,28849,4996222
3728,Finland,1990,38.9,,,,Europe,OECD,High income,28849,4996222
3729,Finland,1990,21.5,,,,Europe,OECD,High income,28849,4996222
3730,Finland,1990,26.7,,,,Europe,OECD,High income,28849,4996222
3731,Finland,1990,40.4,,,,Europe,OECD,High income,28849,4996222
3732,Finland,1990,22.9,0.77,3.11,25.67,Europe,OECD,High income,28849,4996222
3733,Finland,1991,22.9,0.77,3.15,25.59,Europe,OECD,High income,27019,5019134
3734,Finland,1991,20.9,0.68,2.96,26.41,Europe,OECD,High income,27019,5019134
3735,Finland,1991,27.3,0.96,3.94,23.02,Europe,OECD,High income,27019,5019134
3736,Finland,1991,25.7,0.87,3.84,23.54,Europe,OECD,High income,27019,5019134
3737,Finland,1991,20.1,0.67,2.76,27.2,Europe,OECD,High income,27019,5019125
3738,Finland,1991,25.1,,,,Europe,OECD,High income,27019,5019125
3739,Finland,1991,39.5,,,,Europe,OECD,High income,27019,5019125
3740,Finland,1991,21.2,,,,Europe,OECD,High income,27019,5019125
3741,Finland,1991,26.2,,,,Europe,OECD,High income,27019,5019125
3742,Finland,1991,41.3,,,,Europe,OECD,High income,27019,5019125
3743,Finland,1991,22.7,0.76,3.09,25.77,Europe,OECD,High income,27019,5019125
3744,Finland,1991,22.3,,,,Europe,OECD,High income,27019,5019125
3745,Finland,1991,33.7,,,,Europe,OECD,High income,27019,5019125
3746,Finland,1992,19.7,0.65,2.7,27.5,Europe,OECD,High income,25987,5044925
3747,Finland,1992,25,,,,Europe,OECD,High income,25987,5044925
3748,Finland,1992,41.9,,,,Europe,OECD,High income,25987,5044925
3749,Finland,1992,21.1,,,,Europe,OECD,High income,25987,5044925
3750,Finland,1992,26.4,,,,Europe,OECD,High income,25987,5044925
3751,Finland,1992,44.4,,,,Europe,OECD,High income,25987,5044925
3752,Finland,1992,22.8,0.77,3.1,25.76,Europe,OECD,High income,25987,5044925
3753,Finland,1993,20.9,0.71,2.82,27,Europe,OECD,High income,25659,5071789
3754,Finland,1993,26.1,,,,Europe,OECD,High income,25659,5071789
3755,Finland,1993,45.3,,,,Europe,OECD,High income,25659,5071789
3756,Finland,1993,21.4,,,,Europe,OECD,High income,25659,5071789
3757,Finland,1993,26.8,,,,Europe,OECD,High income,25659,5071789
3758,Finland,1993,47.4,,,,Europe,OECD,High income,25659,5071789
3759,Finland,1993,23.6,0.81,3.21,25.42,Europe,OECD,High income,25659,5071789
3760,Finland,1994,20.9,0.71,2.85,26.9,Europe,OECD,High income,26538,5097097
3761,Finland,1994,26.1,,,,Europe,OECD,High income,26538,5097097
3762,Finland,1994,46.1,,,,Europe,OECD,High income,26538,5097097
3763,Finland,1994,21.5,,,,Europe,OECD,High income,26538,5097097
3764,Finland,1994,26.8,,,,Europe,OECD,High income,26538,5097097
3765,Finland,1994,48.6,,,,Europe,OECD,High income,26538,5097097
3766,Finland,1994,23.1,0.79,3.12,25.85,Europe,OECD,High income,26538,5097097
3767,Finland,1995,23.5,0.8,3.19,25.58,Europe,OECD,High income,27536,5119012
3768,Finland,1995,21.7,0.73,2.99,26.25,Europe,OECD,High income,27536,5119012
3769,Finland,1995,28.5,1.03,4.09,22.67,Europe,OECD,High income,27536,5119012
3770,Finland,1995,27.2,0.95,4.04,22.89,Europe,OECD,High income,27536,5119012
3771,Finland,1995,21.7,0.74,2.95,26.5,Europe,OECD,High income,27536,5119005
3772,Finland,1995,26.8,,,,Europe,OECD,High income,27536,5119005
3773,Finland,1995,46,,,,Europe,OECD,High income,27536,5119005
3774,Finland,1995,22,,,,Europe,OECD,High income,27536,5119005
3775,Finland,1995,27.3,,,,Europe,OECD,High income,27536,5119005
3776,Finland,1995,48.3,,,,Europe,OECD,High income,27536,5119005
3777,Finland,1995,23.8,0.82,3.23,25.46,Europe,OECD,High income,27536,5119005
3778,Finland,1996,22,0.77,3,26,Europe,OECD,High income,28444,5136984
3779,Finland,1996,22.1,0.76,3.03,26.2,Europe,OECD,High income,28444,5136979
3780,Finland,1996,27.4,,,,Europe,OECD,High income,28444,5136979
