Year (2010-2018),country,gini_index_reported,palma,ratio_top20bottom20,bottom40,region_un,OECD=Countries the support the free market,incomegroup,reference_period, gdp_ppp_pc_usd2011 , population 
2013,Colombia,50.4,3.28,13.85,12.1,Americas,Non-OECD,Upper middle income,," $12,209.00 "," 47,342,981.00 "
2013,Colombia,54,4.12,18.25,10.3,Americas,Non-OECD,Upper middle income,," $12,431.00 "," 46,495,492.00 "
2013,Colombia,52.82,3.79,16.42,10.97,Americas,Non-OECD,Upper middle income,Year," $12,431.00 "," 46,495,492.00 "
2014,Colombia,52.6,3.74,15.92,11.1,Americas,Non-OECD,Upper middle income,," $12,666.00 "," 47,791,911.00 "
2014,Colombia,50.3,3.25,13.83,12.2,Americas,Non-OECD,Upper middle income,," $12,666.00 "," 47,791,911.00 "
2014,Colombia,54,4.08,18.22,10.4,Americas,Non-OECD,Upper middle income,," $12,888.00 "," 46,967,708.00 "
2014,Colombia,52.73,3.76,16.26,11.05,Americas,Non-OECD,Upper middle income,Year," $12,888.00 "," 46,967,708.00 "
2015,Colombia,51,3.42,14.68,11.7,Americas,Non-OECD,Upper middle income,," $12,922.00 "," 48,228,697.00 "
2015,Colombia,48.7,2.96,12.51,12.9,Americas,Non-OECD,Upper middle income,," $12,922.00 "," 48,228,697.00 "
2015,Colombia,52.4,3.72,16.71,11,Americas,Non-OECD,Upper middle income,," $13,115.00 "," 47,520,668.00 "
2015,Colombia,51.1,3.43,14.71,11.68,Americas,Non-OECD,Upper middle income,Year," $13,115.00 "," 47,520,668.00 "
2016,Colombia,50.7,3.35,14.23,11.9,Americas,Non-OECD,Upper middle income,," $13,077.00 "," 48,653,419.00 "
2016,Colombia,48.3,2.92,12.18,13.1,Americas,Non-OECD,Upper middle income,," $13,077.00 "," 48,653,419.00 "
2016,Colombia,52.1,3.61,16.14,11.3,Americas,Non-OECD,Upper middle income,," $13,206.00 "," 48,175,048.00 "
2016,Colombia,50.84,3.37,14.43,11.87,Americas,Non-OECD,Upper middle income,Year," $13,206.00 "," 48,175,048.00 "
2017,Colombia,49.56,3.13,13.16,12.43,Americas,Non-OECD,Upper middle income,," $13,184.00 "," 48,909,844.00 "
2017,Colombia,47.2,2.75,11.43,13.54,Americas,Non-OECD,Upper middle income,," $13,184.00 "," 48,909,844.00 "
2017,Colombia,51.1,3.41,15.05,11.7,Americas,Non-OECD,Upper middle income,," $13,184.00 "," 48,909,844.00 "
2017,Colombia,49.72,3.16,13.42,12.34,Americas,Non-OECD,Upper middle income,Year," $13,184.00 "," 48,909,844.00 "
2018,Colombia,52,3.62,16.2,11.3,Americas,Non-OECD,Upper middle income,," $13,330.00 "," 49,661,056.00 "
2004,Comoros,55.93,4.26,15.31,11.28,Africa,Non-OECD,Lower middle income,Year,2364," 597,230.00 "
2014,Comoros,45.33,2.48,11.26,13.55,Africa,Non-OECD,Lower middle income,Year," $2,526.00 "," 759,390.00 "
2005,"Congo, Democratic Republic of the",42.16,2.08,8.52,15.58,Africa,Non-OECD,Low income,Year,594," 54,785,896.00 "
2013,"Congo, Democratic Republic of the",42.1,2.06,8.73,15.52,Africa,Non-OECD,Low income,Year, $741.00 ," 71,358,808.00 "
1958,"Congo, Republic of the",41.9,,,,Africa,Non-OECD,Lower middle income,,," 987,142.00 "
1958,"Congo, Republic of the",44.7,,,,Africa,Non-OECD,Lower middle income,,," 987,142.00 "
2005,"Congo, Republic of the",47.33,2.73,10.87,13.51,Africa,Non-OECD,Lower middle income,Year,4868," 3,622,775.00 "
2011,"Congo, Republic of the",48.94,3.05,12.83,12.42,Africa,Non-OECD,Lower middle income,Year," $5,354.00 "," 4,394,842.00 "
1961,Costa Rica,52.1,3.38,10.28,13,Americas,Non-OECD,Upper middle income,,," 1,381,917.00 "
1961,Costa Rica,53.1,2.57,6.48,18.8,Americas,Non-OECD,Upper middle income,,," 1,381,917.00 "
1961,Costa Rica,47.2,2.7,10.96,13.7,Americas,Non-OECD,Upper middle income,,," 1,381,917.00 "
1961,Costa Rica,50,,,,Americas,Non-OECD,Upper middle income,,," 1,381,917.00 "
1969,Costa Rica,52,,,,Americas,Non-OECD,Upper middle income,,," 1,798,311.00 "
1969,Costa Rica,50,,10.91,13.6,Americas,Non-OECD,Upper middle income,,," 1,798,311.00 "
1971,Costa Rica,47.6,2.76,10.64,13.6,Americas,Non-OECD,Upper middle income,Year,," 1,898,360.00 "
1971,Costa Rica,44.5,2.34,9.33,14.6,Americas,Non-OECD,Upper middle income,Year,," 1,898,360.00 "
1971,Costa Rica,36.7,1.55,6.36,18.1,Americas,Non-OECD,Upper middle income,Year,," 1,898,360.00 "
1971,Costa Rica,44.3,2.32,9.3,14.7,Americas,Non-OECD,Upper middle income,Year,," 1,898,360.00 "
1971,Costa Rica,39.3,1.76,7.49,16.4,Americas,Non-OECD,Upper middle income,Year,," 1,898,360.00 "
1971,Costa Rica,46,,8.87,13.8,Americas,Non-OECD,Upper middle income,,," 1,898,360.00 "
1971,Costa Rica,38,,,,Americas,Non-OECD,Upper middle income,,," 1,898,360.00 "
1971,Costa Rica,41,,,,Americas,Non-OECD,Upper middle income,,," 1,898,360.00 "
1971,Costa Rica,48,,,,Americas,Non-OECD,Upper middle income,,," 1,898,360.00 "
1971,Costa Rica,46,,,,Americas,Non-OECD,Upper middle income,,," 1,898,360.00 "
1971,Costa Rica,43,,,,Americas,Non-OECD,Upper middle income,,," 1,898,360.00 "
1971,Costa Rica,46.6,,,,Americas,Non-OECD,Upper middle income,,," 1,898,360.00 "
1974,Costa Rica,45.2,2.63,11.33,13.6,Americas,Non-OECD,Upper middle income,,," 2,045,580.00 "
1977,Costa Rica,43,,,,Americas,Non-OECD,Upper middle income,,," 2,207,725.00 "
1977,Costa Rica,49,3.45,18.33,11,Americas,Non-OECD,Upper middle income,Month,," 2,207,725.00 "
1977,Costa Rica,49,3.36,18.33,11,Americas,Non-OECD,Upper middle income,Month,," 2,207,725.00 "
1977,Costa Rica,49,,,,Americas,Non-OECD,Upper middle income,,," 2,207,725.00 "
1979,Costa Rica,45,,,,Americas,Non-OECD,Upper middle income,,," 2,326,704.00 "
1981,Costa Rica,47.49,2.89,15.34,11.68,Americas,Non-OECD,Upper middle income,Year,," 2,455,593.00 "
1981,Costa Rica,47.5,2.87,15.58,11.7,Americas,Non-OECD,Upper middle income,Month,," 2,454,129.00 "
1981,Costa Rica,47,2.74,14.54,12.31,Americas,Non-OECD,Upper middle income,,," 2,454,129.00 "
1981,Costa Rica,43,2.16,11.1,14.1,Americas,Non-OECD,Upper middle income,,," 2,454,129.00 "
1982,Costa Rica,42,,,,Americas,Non-OECD,Upper middle income,,," 2,521,168.00 "
1983,Costa Rica,45.1,2.66,11.51,13.8,Americas,Non-OECD,Upper middle income,,," 2,589,930.00 "
1983,Costa Rica,45.6,2.73,11.64,13.6,Americas,Non-OECD,Upper middle income,,," 2,589,930.00 "
1986,Costa Rica,34.42,1.32,7.6,17.45,Americas,Non-OECD,Upper middle income,Year,," 2,810,245.00 "
1986,Costa Rica,42,,11.05,14.9,Americas,Non-OECD,Upper middle income,,," 2,800,986.00 "
1989,Costa Rica,44,2.3,10.7,14.2,Americas,Non-OECD,Upper middle income,,," 3,018,955.00 "
1989,Costa Rica,42,2.07,9.71,15.1,Americas,Non-OECD,Upper middle income,,," 3,018,955.00 "
1989,Costa Rica,46.69,2.72,15.75,12.39,Americas,Non-OECD,Upper middle income,Year,," 3,039,015.00 "
1989,Costa Rica,46,2.6,12.7,13.1,Americas,Non-OECD,Upper middle income,Month,," 3,018,955.00 "
1989,Costa Rica,46,2.6,12.69,13.08,Americas,Non-OECD,Upper middle income,,," 3,018,955.00 "
1989,Costa Rica,45.3,,,,Americas,Non-OECD,Upper middle income,,," 3,018,955.00 "
1989,Costa Rica,42.6,2.14,10.45,14.46,Americas,Non-OECD,Upper middle income,,," 3,018,955.00 "
1989,Costa Rica,44.3,2.36,11.42,13.84,Americas,Non-OECD,Upper middle income,,," 3,018,955.00 "
1990,Costa Rica,44,2.3,11.11,14.1,Americas,Non-OECD,Upper middle income,,7803," 3,095,995.00 "
1990,Costa Rica,42.2,2.08,9.92,15.1,Americas,Non-OECD,Upper middle income,,7803," 3,095,995.00 "
1990,Costa Rica,43.8,2.29,11.57,14,Americas,Non-OECD,Upper middle income,,7803," 3,095,995.00 "
1990,Costa Rica,41.9,2.04,10.64,14.8,Americas,Non-OECD,Upper middle income,,7803," 3,095,995.00 "
1990,Costa Rica,41.9,2.07,9.79,14.8,Americas,Non-OECD,Upper middle income,,7803," 3,095,995.00 "
1990,Costa Rica,45.3,2.49,13.2,13.27,Americas,Non-OECD,Upper middle income,Year,7744," 3,119,436.00 "
1991,Costa Rica,45.4,2.5,11.95,13.5,Americas,Non-OECD,Upper middle income,,7780," 3,175,649.00 "
1991,Costa Rica,43.3,2.25,10.54,14.4,Americas,Non-OECD,Upper middle income,,7780," 3,175,649.00 "
1991,Costa Rica,46.65,2.71,14.17,12.67,Americas,Non-OECD,Upper middle income,Year,7715," 3,202,083.00 "
1991,Costa Rica,46.1,,,,Americas,Non-OECD,Upper middle income,,7780," 3,175,649.00 "
1991,Costa Rica,46,,,,Americas,Non-OECD,Upper middle income,,7780," 3,175,649.00 "
1991,Costa Rica,44.5,,,,Americas,Non-OECD,Upper middle income,,7780," 3,175,649.00 "
1991,Costa Rica,43.3,,,,Americas,Non-OECD,Upper middle income,,7780," 3,175,649.00 "
1992,Costa Rica,44.6,2.39,11.07,14,Americas,Non-OECD,Upper middle income,,8282," 3,257,466.00 "
1992,Costa Rica,42.8,2.14,9.86,15,Americas,Non-OECD,Upper middle income,,8282," 3,257,466.00 "
1992,Costa Rica,44.3,2.34,10.7,14,Americas,Non-OECD,Upper middle income,,8282," 3,257,466.00 "
1992,Costa Rica,42.4,2.08,10.77,14.8,Americas,Non-OECD,Upper middle income,,8282," 3,257,466.00 "
1992,Costa Rica,43.5,2.25,10.17,14.4,Americas,Non-OECD,Upper middle income,,8282," 3,257,466.00 "
1992,Costa Rica,45.71,2.53,12.67,13.32,Americas,Non-OECD,Upper middle income,Year,8209," 3,286,525.00 "
1993,Costa Rica,44.7,2.41,11.09,13.8,Americas,Non-OECD,Upper middle income,,8647," 3,341,004.00 "
1993,Costa Rica,42.9,2.17,9.9,14.8,Americas,Non-OECD,Upper middle income,,8647," 3,341,004.00 "
1993,Costa Rica,46,2.58,13.14,13.07,Americas,Non-OECD,Upper middle income,Year,8567," 3,372,298.00 "
1993,Costa Rica,45.5,,,,Americas,Non-OECD,Upper middle income,,8647," 3,341,004.00 "
1993,Costa Rica,45.1,,,,Americas,Non-OECD,Upper middle income,,8647," 3,341,004.00 "
1993,Costa Rica,43.3,,,,Americas,Non-OECD,Upper middle income,,8647," 3,341,004.00 "
1993,Costa Rica,43.4,,,,Americas,Non-OECD,Upper middle income,,8647," 3,341,004.00 "
1994,Costa Rica,45.8,2.55,11.36,13.7,Americas,Non-OECD,Upper middle income,,8812," 3,425,690.00 "
1994,Costa Rica,43.8,2.29,10.29,14.6,Americas,Non-OECD,Upper middle income,,8812," 3,425,690.00 "
1994,Costa Rica,46.1,2.57,11.64,13.6,Americas,Non-OECD,Upper middle income,,8812," 3,425,690.00 "
1994,Costa Rica,43.9,2.29,10.7,14.6,Americas,Non-OECD,Upper middle income,,8812," 3,425,690.00 "
1994,Costa Rica,44.3,2.32,10.38,14.4,Americas,Non-OECD,Upper middle income,,8812," 3,425,690.00 "
1994,Costa Rica,46.75,2.69,12.98,13.09,Americas,Non-OECD,Upper middle income,Year,8727," 3,458,829.00 "
1995,Costa Rica,44.7,2.4,11.09,13.9,Americas,Non-OECD,Upper middle income,,8952," 3,510,926.00 "
1995,Costa Rica,43,2.18,10.1,14.8,Americas,Non-OECD,Upper middle income,,8952," 3,510,926.00 "
1995,Costa Rica,45.71,2.54,12.62,13.31,Americas,Non-OECD,Upper middle income,Year,8865," 3,545,524.00 "
1995,Costa Rica,45.7,,,,Americas,Non-OECD,Upper middle income,,8952," 3,510,926.00 "
1995,Costa Rica,45.8,,,,Americas,Non-OECD,Upper middle income,,8952," 3,510,926.00 "
1995,Costa Rica,43.7,,,,Americas,Non-OECD,Upper middle income,,8952," 3,510,926.00 "
1995,Costa Rica,42.9,,,,Americas,Non-OECD,Upper middle income,,8952," 3,510,926.00 "
1996,Costa Rica,45.5,2.51,11.77,13.5,Americas,Non-OECD,Upper middle income,,8847," 3,596,732.00 "
1996,Costa Rica,43.7,2.27,10.47,14.4,Americas,Non-OECD,Upper middle income,,8847," 3,596,732.00 "
1996,Costa Rica,46.54,2.66,13.47,12.89,Americas,Non-OECD,Upper middle income,Year,8760," 3,632,361.00 "
1996,Costa Rica,45.9,,,,Americas,Non-OECD,Upper middle income,,8847," 3,596,732.00 "
1997,Costa Rica,44.9,2.42,10.91,13.9,Americas,Non-OECD,Upper middle income,,9121," 3,682,725.00 "
1997,Costa Rica,42.9,2.15,9.7,14.9,Americas,Non-OECD,Upper middle income,,9121," 3,682,725.00 "
1997,Costa Rica,45,2.46,11.41,13.6,Americas,Non-OECD,Upper middle income,,9121," 3,682,725.00 "
1997,Costa Rica,42.6,2.16,10.39,14.6,Americas,Non-OECD,Upper middle income,,9121," 3,682,725.00 "
1997,Costa Rica,42.9,2.18,10.08,14.6,Americas,Non-OECD,Upper middle income,,9121," 3,682,725.00 "
1997,Costa Rica,45.62,2.52,12.02,13.42,Americas,Non-OECD,Upper middle income,Year,9032," 3,718,952.00 "
1998,Costa Rica,45.1,2.45,10.98,13.8,Americas,Non-OECD,Upper middle income,,9537," 3,767,373.00 "
1998,Costa Rica,43.1,2.19,9.78,14.8,Americas,Non-OECD,Upper middle income,,9537," 3,767,373.00 "
1998,Costa Rica,45.67,2.52,11.73,13.49,Americas,Non-OECD,Upper middle income,Year,9445," 3,803,893.00 "
1998,Costa Rica,46.1,,,,Americas,Non-OECD,Upper middle income,,9537," 3,767,373.00 "
1999,Costa Rica,47,2.72,12.16,13.1,Americas,Non-OECD,Upper middle income,,9703," 3,848,723.00 "
1999,Costa Rica,45.1,2.45,11.04,14,Americas,Non-OECD,Upper middle income,,9703," 3,848,723.00 "
1999,Costa Rica,47.3,2.79,13,12.6,Americas,Non-OECD,Upper middle income,,9703," 3,848,723.00 "
1999,Costa Rica,45.7,2.55,12.6,13.4,Americas,Non-OECD,Upper middle income,,9703," 3,848,723.00 "
1999,Costa Rica,45.4,2.48,11.41,13.4,Americas,Non-OECD,Upper middle income,,9703," 3,848,723.00 "
1999,Costa Rica,47.67,2.82,13.4,12.71,Americas,Non-OECD,Upper middle income,Year,9612," 3,885,428.00 "
2000,Costa Rica,46.7,2.7,12.31,13.1,Americas,Non-OECD,Upper middle income,,9878," 3,925,443.00 "
2000,Costa Rica,44.9,2.44,11.16,14,Americas,Non-OECD,Upper middle income,,9878," 3,925,443.00 "
2000,Costa Rica,47.4,2.79,13,12.6,Americas,Non-OECD,Upper middle income,,9878," 3,925,443.00 "
2000,Costa Rica,45.1,2.44,12.4,13.6,Americas,Non-OECD,Upper middle income,,9878," 3,925,443.00 "
2000,Costa Rica,45.4,2.47,11.45,13.6,Americas,Non-OECD,Upper middle income,,9878," 3,925,443.00 "
2000,Costa Rica,47.9,2.85,12.93,12.7,Americas,Non-OECD,Upper middle income,,9786," 3,962,369.00 "
2000,Costa Rica,47.45,2.81,13.5,12.72,Americas,Non-OECD,Upper middle income,Year,9786," 3,962,369.00 "
2001,Costa Rica,51.4,3.51,16.06,11.3,Americas,Non-OECD,Upper middle income,Year,10041," 3,996,798.00 "
2001,Costa Rica,49.4,3.13,14.37,12.2,Americas,Non-OECD,Upper middle income,,10041," 3,996,798.00 "
2001,Costa Rica,49.9,3.17,14.05,12.1,Americas,Non-OECD,Upper middle income,,10041," 3,996,798.00 "
2001,Costa Rica,48,2.87,12.69,12.9,Americas,Non-OECD,Upper middle income,,10041," 3,996,798.00 "
2001,Costa Rica,49.9,3.2,14.42,11.9,Americas,Non-OECD,Upper middle income,,9948," 4,034,074.00 "
2001,Costa Rica,51.56,3.53,16.25,11.27,Americas,Non-OECD,Upper middle income,Year,9948," 4,034,074.00 "
2002,Costa Rica,51.6,3.51,15.3,11.5,Americas,Non-OECD,Upper middle income,Year,10202," 4,063,204.00 "
2002,Costa Rica,50,3.19,13.83,12.3,Americas,Non-OECD,Upper middle income,,10202," 4,063,204.00 "
2002,Costa Rica,49.7,3.13,14,12.1,Americas,Non-OECD,Upper middle income,,10108," 4,100,922.00 "
2002,Costa Rica,51.88,3.57,16.04,11.34,Americas,Non-OECD,Upper middle income,Year,10108," 4,100,922.00 "
2003,Costa Rica,49.1,3.05,14.16,12.1,Americas,Non-OECD,Upper middle income,Year,10474," 4,125,971.00 "
2003,Costa Rica,47.3,2.76,12.78,12.9,Americas,Non-OECD,Upper middle income,,10474," 4,125,971.00 "
2003,Costa Rica,48.2,2.9,12.64,12.6,Americas,Non-OECD,Upper middle income,,10378," 4,164,053.25 "
2003,Costa Rica,49.29,3.1,14.67,11.92,Americas,Non-OECD,Upper middle income,Year,10378," 4,164,053.25 "
2004,Costa Rica,48.2,2.92,13.33,12.5,Americas,Non-OECD,Upper middle income,Year,10769," 4,187,038.00 "
2004,Costa Rica,46.4,2.62,11.75,13.4,Americas,Non-OECD,Upper middle income,,10769," 4,187,038.00 "
2004,Costa Rica,48.6,2.96,13.1,12.5,Americas,Non-OECD,Upper middle income,,10672," 4,225,156.00 "
2004,Costa Rica,48.35,2.93,13.36,12.48,Americas,Non-OECD,Upper middle income,Year,10672," 4,225,156.00 "
2005,Costa Rica,47.4,2.75,12.26,13,Americas,Non-OECD,Upper middle income,Year,11025," 4,247,841.00 "
2005,Costa Rica,45.4,2.47,11.13,13.9,Americas,Non-OECD,Upper middle income,,11025," 4,247,841.00 "
2005,Costa Rica,47.6,2.77,12.3,13,Americas,Non-OECD,Upper middle income,,10929," 4,285,504.00 "
2005,Costa Rica,47.47,2.77,12.44,12.92,Americas,Non-OECD,Upper middle income,Year,10929," 4,285,504.00 "
2006,Costa Rica,49.3,3.1,13.37,12.4,Americas,Non-OECD,Upper middle income,Year,11656," 4,308,794.00 "
2006,Costa Rica,47.5,2.77,11.84,13.4,Americas,Non-OECD,Upper middle income,,11656," 4,308,794.00 "
2006,Costa Rica,48.9,3,12.93,12.6,Americas,Non-OECD,Upper middle income,,11558," 4,345,421.00 "
2006,Costa Rica,49.44,3.1,13.38,12.41,Americas,Non-OECD,Upper middle income,Year,11558," 4,345,421.00 "
2007,Costa Rica,49.3,3.04,12.5,12.8,Americas,Non-OECD,Upper middle income,Year,12433," 4,369,469.00 "
2007,Costa Rica,47.5,2.76,11.4,13.6,Americas,Non-OECD,Upper middle income,,12433," 4,369,469.00 "
2007,Costa Rica,49.8,3.12,12.86,12.6,Americas,Non-OECD,Upper middle income,,12334," 4,404,626.00 "
2007,Costa Rica,49.29,3.05,12.7,12.76,Americas,Non-OECD,Upper middle income,Year,12334," 4,404,626.00 "
2008,Costa Rica,48.5,2.91,12.3,12.9,Americas,Non-OECD,Upper middle income,Year,12835," 4,429,508.00 "
2008,Costa Rica,46.7,2.64,10.98,13.8,Americas,Non-OECD,Upper middle income,,12835," 4,429,508.00 "
2008,Costa Rica,49.1,3.02,12.67,12.6,Americas,Non-OECD,Upper middle income,,12738," 4,463,123.00 "
2008,Costa Rica,48.68,2.95,12.54,12.78,Americas,Non-OECD,Upper middle income,Year,12738," 4,463,123.00 "
2009,Costa Rica,50.4,3.31,13.95,11.9,Americas,Non-OECD,Upper middle income,Year,12544," 4,488,263.00 "
2009,Costa Rica,48.6,2.93,12.09,13,Americas,Non-OECD,Upper middle income,,12544," 4,488,263.00 "
2009,Costa Rica,51.2,3.44,14.49,11.6,Americas,Non-OECD,Upper middle income,,12454," 4,520,739.00 "
2009,Costa Rica,50.56,3.31,14.11,11.92,Americas,Non-OECD,Upper middle income,Year,12454," 4,520,739.00 "
2010,Costa Rica,48.1,2.85,11.96,13,Americas,Non-OECD,Upper middle income,Year," $13,000.00 "," 4,545,280.00 "
2010,Costa Rica,46.3,2.56,10.69,14,Americas,Non-OECD,Upper middle income,," $13,000.00 "," 4,545,280.00 "
2010,Costa Rica,49.9,3.15,13.46,12.2,Americas,Non-OECD,Upper middle income,," $13,000.00 "," 4,545,280.00 "
2010,Costa Rica,48.2,2.86,12.25,13,Americas,Non-OECD,Upper middle income,," $13,000.00 "," 4,545,280.00 "
2010,Costa Rica,49.2,3.01,13.29,12.5,Americas,Non-OECD,Upper middle income,," $12,909.00 "," 4,577,371.00 "
2010,Costa Rica,47.2,,,,Americas,Non-OECD,Upper middle income,Year," $13,000.00 "," 4,545,280.00 "
2010,Costa Rica,48.16,2.86,12.09,12.99,Americas,Non-OECD,Upper middle income,Year," $12,909.00 "," 4,577,371.00 "
2010,Costa Rica,48.9,,,,Americas,Non-OECD,Upper middle income,," $13,000.00 "," 4,545,280.00 "
2010,Costa Rica,50.8,,,,Americas,Non-OECD,Upper middle income,," $13,000.00 "," 4,545,280.00 "
2011,Costa Rica,48.6,2.96,12.83,12.5,Americas,Non-OECD,Upper middle income,Year," $13,397.00 "," 4,600,474.00 "
2011,Costa Rica,46.7,2.63,11.15,13.5,Americas,Non-OECD,Upper middle income,," $13,397.00 "," 4,600,474.00 "
2011,Costa Rica,50,3.18,14.1,11.9,Americas,Non-OECD,Upper middle income,," $13,303.00 "," 4,633,086.00 "
2011,Costa Rica,48,,,,Americas,Non-OECD,Upper middle income,Year," $13,397.00 "," 4,600,474.00 "
2011,Costa Rica,48.72,2.96,12.79,12.5,Americas,Non-OECD,Upper middle income,Year," $13,303.00 "," 4,633,086.00 "
2012,Costa Rica,48.6,2.94,12.83,12.6,Americas,Non-OECD,Upper middle income,Year," $13,878.00 "," 4,654,122.00 "
2012,Costa Rica,46.7,2.63,11.15,13.6,Americas,Non-OECD,Upper middle income,," $13,878.00 "," 4,654,122.00 "
2012,Costa Rica,50.2,3.22,14.5,11.8,Americas,Non-OECD,Upper middle income,," $13,778.00 "," 4,688,003.00 "
2012,Costa Rica,48.3,,,,Americas,Non-OECD,Upper middle income,Year," $13,878.00 "," 4,654,122.00 "
2012,Costa Rica,48.62,2.95,12.78,12.57,Americas,Non-OECD,Upper middle income,Year," $13,778.00 "," 4,688,003.00 "
2013,Costa Rica,49.3,3.04,12.98,12.3,Americas,Non-OECD,Upper middle income,Year," $14,035.00 "," 4,706,401.00 "
2013,Costa Rica,47.5,2.74,11.8,13.2,Americas,Non-OECD,Upper middle income,," $14,035.00 "," 4,706,401.00 "
2013,Costa Rica,50.8,3.33,15.05,11.5,Americas,Non-OECD,Upper middle income,," $13,930.00 "," 4,742,111.00 "
2013,Costa Rica,49.4,,,,Americas,Non-OECD,Upper middle income,Year," $14,035.00 "," 4,706,401.00 "
2013,Costa Rica,49.27,3.04,13.26,12.3,Americas,Non-OECD,Upper middle income,Year," $13,930.00 "," 4,742,111.00 "
2014,Costa Rica,48.6,2.95,12.83,12.5,Americas,Non-OECD,Upper middle income,Year," $14,372.00 "," 4,757,575.00 "
2014,Costa Rica,46.8,2.66,11.17,13.4,Americas,Non-OECD,Upper middle income,," $14,372.00 "," 4,757,575.00 "
2014,Costa Rica,49.8,3.19,14.42,11.8,Americas,Non-OECD,Upper middle income,," $14,259.00 "," 4,795,390.00 "
2014,Costa Rica,48.5,,,,Americas,Non-OECD,Upper middle income,Year," $14,372.00 "," 4,757,575.00 "
2014,Costa Rica,48.63,2.96,12.85,12.47,Americas,Non-OECD,Upper middle income,Year," $14,259.00 "," 4,795,390.00 "
2015,Costa Rica,48.3,2.88,12.53,12.8,Americas,Non-OECD,Upper middle income,Year," $14,739.00 "," 4,807,852.00 "
2015,Costa Rica,46.5,2.61,11.17,13.6,Americas,Non-OECD,Upper middle income,," $14,739.00 "," 4,807,852.00 "
2015,Costa Rica,49.6,3.12,14.39,12,Americas,Non-OECD,Upper middle income,," $14,617.00 "," 4,847,805.00 "
2015,Costa Rica,47.9,,,,Americas,Non-OECD,Upper middle income,Year," $14,739.00 "," 4,807,852.00 "
2015,Costa Rica,48.38,2.9,12.68,12.69,Americas,Non-OECD,Upper middle income,Year," $14,617.00 "," 4,847,805.00 "
2016,Costa Rica,48.6,2.98,12.86,12.5,Americas,Non-OECD,Upper middle income,," $15,208.00 "," 4,857,274.00 "
2016,Costa Rica,46.8,2.67,11.19,13.5,Americas,Non-OECD,Upper middle income,," $15,208.00 "," 4,857,274.00 "
2016,Costa Rica,50,3.19,14.08,11.9,Americas,Non-OECD,Upper middle income,," $15,078.00 "," 4,899,336.00 "
2016,Costa Rica,48.4,,,,Americas,Non-OECD,Upper middle income,Year," $15,208.00 "," 4,857,274.00 "
2016,Costa Rica,48.69,2.98,12.8,12.53,Americas,Non-OECD,Upper middle income,Year," $15,078.00 "," 4,899,336.00 "
2017,Costa Rica,48.3,2.88,12.25,12.8,Americas,Non-OECD,Upper middle income,," $15,569.00 "," 4,905,769.00 "
2017,Costa Rica,46.6,2.59,10.73,13.8,Americas,Non-OECD,Upper middle income,," $15,569.00 "," 4,905,769.00 "
2017,Costa Rica,49.6,3.11,13.7,12.1,Americas,Non-OECD,Upper middle income,," $15,430.00 "," 4,949,955.00 "
2017,Costa Rica,48,2.88,12.98,12.49,Americas,Non-OECD,Upper middle income,," $15,430.00 "," 4,949,955.00 "
2017,Costa Rica,48.34,2.89,12.27,12.8,Americas,Non-OECD,Upper middle income,Year," $15,430.00 "," 4,949,955.00 "
2018,Costa Rica,49.3,3.07,13.92,12.1,Americas,Non-OECD,Upper middle income,," $15,685.00 "," 4,999,443.00 "
2018,Costa Rica,47.9,2.85,13.18,12.41,Americas,Non-OECD,Upper middle income,," $15,685.00 "," 4,999,443.00 "
1959,Cote d'Ivoire,45.6,2.38,7.85,16.5,Africa,Non-OECD,Lower middle income,,," 3,435,930.00 "
1959,Cote d'Ivoire,39.6,,,,Africa,Non-OECD,Lower middle income,,," 3,435,930.00 "
1959,Cote d'Ivoire,43,,6.88,18,Africa,Non-OECD,Lower middle income,,," 3,435,930.00 "
1970,Cote d'Ivoire,53.4,3.92,15,10.6,Africa,Non-OECD,Lower middle income,,," 5,242,395.00 "
1970,Cote d'Ivoire,51.7,,,,Africa,Non-OECD,Lower middle income,,," 5,242,395.00 "
1978,Cote d'Ivoire,50,,,,Africa,Non-OECD,Lower middle income,,," 7,585,914.00 "
1985,Cote d'Ivoire,55.3,,,,Africa,Non-OECD,Lower middle income,,," 10,222,558.00 "
1986,Cote d'Ivoire,45.53,2.49,10.36,14.28,Africa,Non-OECD,Lower middle income,Year,," 10,307,268.00 "
1987,Cote d'Ivoire,37.97,1.66,6.6,17.77,Africa,Non-OECD,Lower middle income,Year,," 10,698,188.00 "
1988,Cote d'Ivoire,40.51,1.92,7.56,16.67,Africa,Non-OECD,Lower middle income,Year,," 11,094,740.00 "
1989,Cote d'Ivoire,36.89,1.56,6.45,18.13,Africa,Non-OECD,Lower middle income,Year,," 11,502,453.00 "
1993,Cote d'Ivoire,39.39,1.79,7.66,16.53,Africa,Non-OECD,Lower middle income,Year,2940," 13,271,638.00 "
1995,Cote d'Ivoire,40.56,1.96,7.23,16.76,Africa,Non-OECD,Lower middle income,Year,2968," 14,199,759.00 "
1998,Cote d'Ivoire,38.96,1.75,7.28,17.18,Africa,Non-OECD,Lower middle income,Year,3170," 15,589,407.00 "
1998,Cote d'Ivoire,40.8,1.93,7.51,16.74,Africa,Non-OECD,Lower middle income,,3112," 15,884,552.00 "
2002,Cote d'Ivoire,57.7,5.02,22.59,9.24,Africa,Non-OECD,Lower middle income,Year,2810," 17,231,540.00 "
